
grid parameters: 

         I           yp             yn              rn              rs                rc               dn              ds             area n            volume  
         1   -0.2756715E-06    0.0000000E+00    0.0000000E+00    0.2500000E-01    0.2500028E-01    0.2756715E-06    0.2756715E-06    0.0000000E+00   -0.5454155E-05
         2    0.2747418E-06    0.5494836E-06    0.2500000E-01    0.2499945E-01    0.2499972E-01    0.2756715E-06    0.2738088E-06    0.4363324E-03    0.2397534E-09
         3    0.8791736E-06    0.1208864E-05    0.2499945E-01    0.2499879E-01    0.2499912E-01    0.3296882E-06    0.3296882E-06    0.4363228E-03    0.2876971E-09
         4    0.1604492E-05    0.2000120E-05    0.2499879E-01    0.2499800E-01    0.2499840E-01    0.3948808E-06    0.3967434E-06    0.4363113E-03    0.3453891E-09
         5    0.2474874E-05    0.2949628E-05    0.2499800E-01    0.2499705E-01    0.2499752E-01    0.4749745E-06    0.4749745E-06    0.4362974E-03    0.4144525E-09
         6    0.3519332E-05    0.4089037E-05    0.2499705E-01    0.2499591E-01    0.2499648E-01    0.5681068E-06    0.5699694E-06    0.4362809E-03    0.4965096E-09
         7    0.4772683E-05    0.5456328E-05    0.2499591E-01    0.2499454E-01    0.2499523E-01    0.6835908E-06    0.6835908E-06    0.4362610E-03    0.5964317E-09
         8    0.6276703E-05    0.7097078E-05    0.2499454E-01    0.2499290E-01    0.2499372E-01    0.8214265E-06    0.8195639E-06    0.4362371E-03    0.7158374E-09
         9    0.8081528E-05    0.9065978E-05    0.2499290E-01    0.2499093E-01    0.2499192E-01    0.9853393E-06    0.9834766E-06    0.4362085E-03    0.8587804E-09
        10    0.1024732E-04    0.1142866E-04    0.2499093E-01    0.2498857E-01    0.2498975E-01    0.1180917E-05    0.1182780E-05    0.4361741E-03    0.1030935E-08
        11    0.1284627E-04    0.1426387E-04    0.2498857E-01    0.2498574E-01    0.2498715E-01    0.1417473E-05    0.1417473E-05    0.4361329E-03    0.1236343E-08
        12    0.1596500E-04    0.1766613E-04    0.2498574E-01    0.2498234E-01    0.2498404E-01    0.1700595E-05    0.1700595E-05    0.4360834E-03    0.1483102E-08
        13    0.1970748E-04    0.2174884E-04    0.2498234E-01    0.2497825E-01    0.2498029E-01    0.2041459E-05    0.2041459E-05    0.4360240E-03    0.1780105E-08
        14    0.2419847E-04    0.2664809E-04    0.2497825E-01    0.2497335E-01    0.2497580E-01    0.2449378E-05    0.2451241E-05    0.4359528E-03    0.2136229E-08
        15    0.2958765E-04    0.3252720E-04    0.2497335E-01    0.2496747E-01    0.2497041E-01    0.2939254E-05    0.2939254E-05    0.4358673E-03    0.2561948E-08
        16    0.3605466E-04    0.3958212E-04    0.2496747E-01    0.2496042E-01    0.2496395E-01    0.3527850E-05    0.3525987E-05    0.4357646E-03    0.3073379E-08
        17    0.4381507E-04    0.4804803E-04    0.2496042E-01    0.2495195E-01    0.2495619E-01    0.4233792E-05    0.4233792E-05    0.4356415E-03    0.3688206E-08
        18    0.5312758E-04    0.5820713E-04    0.2495195E-01    0.2494179E-01    0.2494687E-01    0.5079433E-05    0.5079433E-05    0.4354937E-03    0.4423222E-08
        19    0.6430258E-04    0.7039803E-04    0.2494179E-01    0.2492960E-01    0.2493570E-01    0.6094575E-05    0.6096438E-05    0.4353164E-03    0.5305651E-08
        20    0.7771258E-04    0.8502713E-04    0.2492960E-01    0.2491497E-01    0.2492229E-01    0.7314608E-05    0.7314608E-05    0.4351037E-03    0.6363357E-08
        21    0.9380459E-04    0.1025820E-03    0.2491497E-01    0.2489742E-01    0.2490620E-01    0.8776784E-05    0.8776784E-05    0.4348483E-03    0.7630451E-08
        22    0.1131150E-03    0.1236479E-03    0.2489742E-01    0.2487635E-01    0.2488689E-01    0.1053326E-04    0.1053326E-04    0.4345420E-03    0.9150413E-08
